SubscriberID,Region,Plan,OnboardingScore,HasNegativeTicketPreRenewal,Cancelled,TotalSpent,DaysBeforeRenewalLastNegativeTicket,CancellationReason
S-16992,Northeast,Monthly Plus,80.3,False,False,1087.02,,
S-14099,Midwest,Monthly Plus,35.0,False,False,1121.01,,
S-17595,Midwest,Quarterly Bundle,99.3,False,False,2523.09,,
S-11685,Northeast,Quarterly Bundle,66.9,True,True,1050.66,4.6,Shipping issues
S-14475,Northeast,Monthly Plus,47.3,False,False,912.09,,
S-15831,Midwest,Monthly Plus,56.7,False,False,1204.91,,
S-12069,West,Monthly Essentials,69.5,True,False,965.62,14.0,
S-16604,South,Monthly Essentials,66.3,False,False,378.77,,
S-10624,Northeast,Monthly Essentials,37.0,True,False,406.8,0.2,
S-17780,Midwest,Monthly Plus,88.2,False,False,792.36,,
S-13422,Midwest,Monthly Essentials,44.3,False,False,323.25,,
S-16479,Midwest,Quarterly Bundle,63.8,False,False,277.9,,
S-10458,Northeast,Monthly Plus,35.6,True,False,372.68,8.9,
S-12463,Northeast,Quarterly Bundle,95.1,True,True,1282.03,2.3,Paused
S-15544,South,Quarterly Bundle,66.4,False,True,545.47,,Shipping issues
S-10620,Midwest,Quarterly Bundle,52.1,True,True,2825.02,8.3,
S-16474,South,Monthly Plus,74.4,False,False,535.71,,
S-18262,South,Quarterly Bundle,97.3,False,True,325.12,,Shipping issues
S-15278,South,Monthly Plus,59.8,False,False,1095.25,,
S-13812,Midwest,Quarterly Bundle,39.3,False,True,2817.56,,Relocation
S-13518,South,Monthly Plus,40.7,False,False,969.78,,
S-12016,West,Monthly Plus,62.2,True,False,1022.96,13.9,
S-13231,West,Quarterly Bundle,95.6,True,False,1605.3,7.1,
S-17931,West,Monthly Plus,82.7,False,False,1340.12,,
S-10545,Northeast,Monthly Plus,46.6,True,False,1462.53,5.8,
S-16719,Northeast,Monthly Essentials,91.7,False,False,526.48,,
S-17560,West,Quarterly Bundle,95.7,False,False,2983.59,,
S-17085,Midwest,Quarterly Bundle,79.4,False,False,442.43,,
S-16159,Northeast,Quarterly Bundle,58.6,False,False,270.13,,
S-18028,West,Monthly Essentials,75.8,False,False,543.32,,
S-17784,South,Monthly Essentials,82.7,False,False,980.3,,
S-16332,South,Quarterly Bundle,74.2,False,False,1203.73,,
S-13199,South,Monthly Essentials,81.8,True,False,589.44,1.0,
S-13512,Northeast,Quarterly Bundle,47.1,False,False,1255.73,,
S-16382,South,Monthly Plus,70.2,False,False,325.69,,
S-11325,South,Monthly Plus,57.9,True,True,123.17,3.9,Switched provider
S-18377,Northeast,Monthly Plus,80.8,False,False,586.65,,
S-13737,Northeast,Monthly Essentials,46.5,False,True,82.0,,Shipping issues
S-14660,West,Quarterly Bundle,53.6,False,False,162.15,,
S-10220,Northeast,Monthly Essentials,38.7,True,True,110.29,1.7,Switched provider
S-12083,Midwest,Monthly Plus,58.0,True,False,1359.82,0.4,
S-14723,Midwest,Quarterly Bundle,35.9,False,False,1861.23,,
S-10575,Midwest,Monthly Essentials,45.2,True,True,166.21,9.2,Switched provider
S-14911,Midwest,Quarterly Bundle,35.7,False,False,2024.44,,
S-13906,South,Monthly Essentials,54.4,False,False,773.26,,
S-15796,Northeast,Monthly Essentials,67.6,False,False,150.4,,
S-18065,West,Monthly Essentials,78.5,False,True,160.66,,Shipping issues
S-12252,West,Monthly Plus,88.5,True,False,757.76,5.8,
S-18090,South,Quarterly Bundle,77.4,False,False,1059.56,,
S-17232,Midwest,Monthly Essentials,97.9,False,False,580.36,,
S-11288,Northeast,Quarterly Bundle,69.2,True,True,1909.36,12.0,Product quality
S-12831,South,Monthly Essentials,97.6,True,True,790.57,13.7,Switched provider
S-12532,Midwest,Quarterly Bundle,81.5,True,False,1835.02,11.7,
S-14260,Northeast,Monthly Plus,46.5,False,False,525.9,,
S-10782,West,Monthly Essentials,41.3,True,True,35.54,7.1,Product quality
S-14535,Midwest,Monthly Plus,44.3,False,False,1358.49,,
S-15294,Northeast,Quarterly Bundle,68.5,False,False,2670.39,,
S-12500,West,Monthly Essentials,90.1,True,False,757.39,10.2,
S-15599,Midwest,Monthly Plus,63.3,False,False,248.71,,
S-13578,South,Monthly Plus,54.5,False,False,230.65,,
S-16681,West,Monthly Essentials,82.0,False,True,429.2,,Product quality
S-12000,West,Monthly Plus,68.6,True,True,417.14,4.6,Paused
S-13394,West,Monthly Essentials,41.7,False,False,244.08,,
S-11444,South,Monthly Plus,73.5,True,False,1043.48,2.3,
S-16528,South,Quarterly Bundle,72.9,False,False,151.66,,
S-13444,South,Monthly Essentials,44.2,False,True,213.36,,Shipping issues
S-12209,Midwest,Quarterly Bundle,80.4,True,False,1664.74,7.6,
S-11918,Northeast,Quarterly Bundle,70.7,True,False,2234.28,5.3,
S-11665,South,Monthly Essentials,65.0,True,False,317.78,8.5,
S-12820,Northeast,Monthly Essentials,91.1,True,False,367.28,8.6,
S-12429,West,Monthly Plus,80.1,True,False,794.39,11.3,
S-12312,West,Monthly Plus,98.8,True,False,445.93,2.0,
S-11538,Midwest,Monthly Plus,64.1,True,False,268.05,5.9,
S-13294,South,Quarterly Bundle,48.1,False,False,824.56,,
S-17779,Northeast,Monthly Plus,87.2,False,False,318.93,,
S-17044,Northeast,Monthly Essentials,86.8,False,False,718.28,,
S-12384,Northeast,Quarterly Bundle,88.6,True,False,2294.32,10.9,
S-12585,West,Quarterly Bundle,98.3,True,False,985.59,11.5,
S-12139,Midwest,Monthly Essentials,70.6,True,False,117.97,9.0,
S-13069,Northeast,Monthly Essentials,82.2,True,False,376.19,4.0,
S-12538,South,Monthly Plus,81.9,True,False,548.9,12.1,
S-16903,Midwest,Monthly Essentials,77.4,False,False,504.92,,
S-17108,Midwest,Quarterly Bundle,86.8,False,False,3246.69,,
S-15354,Northeast,Monthly Essentials,55.1,False,False,362.42,,
S-11893,Midwest,Monthly Essentials,63.6,True,False,364.47,5.1,
S-13150,South,Monthly Essentials,84.5,True,True,374.35,0.7,Switched provider
S-16457,West,Quarterly Bundle,62.5,False,False,2016.17,,
S-17167,Midwest,Monthly Plus,97.9,False,True,392.56,,Relocation
S-12998,South,Quarterly Bundle,93.3,True,False,3030.77,13.1,
S-10007,West,Quarterly Bundle,50.4,True,True,3928.68,2.0,Relocation
S-15793,Northeast,Quarterly Bundle,58.0,False,False,626.96,,
S-10515,South,Quarterly Bundle,54.0,True,True,1660.86,13.0,Relocation
S-14734,South,Monthly Essentials,40.8,False,False,869.56,,
S-16347,West,Monthly Essentials,59.8,False,False,484.81,,
S-16754,Midwest,Monthly Plus,96.8,False,False,221.84,,
S-10587,West,Quarterly Bundle,35.0,True,True,3077.44,8.8,Paused
S-15399,Northeast,Monthly Essentials,68.1,False,False,802.15,,
S-17501,South,Quarterly Bundle,93.5,False,False,3079.68,,
S-15898,Midwest,Monthly Essentials,60.0,False,False,779.29,,
S-14425,Northeast,Monthly Essentials,48.4,False,False,226.93,,
S-14047,Midwest,Monthly Plus,53.6,False,False,679.17,,
S-17000,South,Quarterly Bundle,96.3,False,False,1521.62,,
S-11516,Midwest,Quarterly Bundle,71.6,True,False,418.88,7.6,
S-12793,Northeast,Quarterly Bundle,83.8,True,False,2389.97,7.6,
S-12324,Midwest,Monthly Essentials,84.6,True,True,651.59,8.5,No longer needed
S-16540,South,Quarterly Bundle,74.2,False,False,3077.38,,
S-14706,South,Quarterly Bundle,48.9,False,False,1085.18,,
S-10814,Midwest,Quarterly Bundle,39.6,True,True,3688.76,1.4,Switched provider
S-16201,Midwest,Monthly Essentials,58.3,False,False,890.78,,
S-10913,Northeast,Monthly Plus,50.9,True,False,546.29,5.4,
S-13036,West,Monthly Plus,93.4,True,False,617.0,14.0,
S-14468,Northeast,Quarterly Bundle,35.6,False,False,3763.0,,
S-16794,West,Quarterly Bundle,90.8,False,False,2605.98,,
S-14575,South,Monthly Plus,36.7,False,False,640.13,,
S-17904,South,Monthly Plus,93.3,False,False,876.83,,
S-12009,Northeast,Monthly Essentials,64.4,True,False,269.83,7.3,
S-17710,West,Monthly Essentials,78.7,False,False,498.36,,
S-13614,Northeast,Monthly Essentials,47.1,False,False,969.53,,
S-11735,Midwest,Monthly Essentials,72.1,True,False,752.52,3.3,
S-11561,Northeast,Quarterly Bundle,73.7,True,False,3527.02,3.2,
S-16569,West,Monthly Plus,59.5,False,False,974.64,,
S-17361,Midwest,Quarterly Bundle,96.9,False,False,1994.37,,
S-11259,Northeast,Monthly Essentials,70.3,True,False,492.82,10.2,
S-12900,Northeast,Monthly Plus,83.4,True,False,711.2,12.2,
S-16330,Midwest,Monthly Plus,55.5,False,False,1187.45,,
S-14854,South,Monthly Essentials,36.0,False,False,395.47,,
S-15179,West,Monthly Plus,63.7,False,True,109.94,,Relocation
S-16285,West,Quarterly Bundle,56.3,False,False,3394.28,,
S-17878,West,Monthly Essentials,92.7,False,False,175.7,,
S-16887,Northeast,Monthly Plus,76.5,False,False,1151.1,,
S-16120,Northeast,Monthly Essentials,61.0,False,False,267.89,,
S-16420,Northeast,Monthly Essentials,65.3,False,False,910.0,,
S-14809,South,Monthly Plus,39.7,False,False,1158.86,,
S-14432,West,Monthly Plus,49.9,False,False,1145.06,,
S-13756,West,Monthly Plus,46.8,False,False,1003.76,,
S-17112,West,Monthly Essentials,95.8,False,False,536.91,,
S-17719,Northeast,Monthly Plus,77.3,False,False,176.12,,
S-17178,West,Monthly Plus,97.2,False,False,60.1,,
S-17535,Midwest,Quarterly Bundle,77.1,False,True,298.29,,Shipping issues
S-10075,Midwest,Monthly Essentials,52.1,True,True,761.73,0.4,Paused
S-12746,West,Monthly Essentials,88.7,True,False,266.19,13.1,
S-17182,Northeast,Quarterly Bundle,85.6,False,False,3465.45,,
S-15721,South,Monthly Essentials,63.8,False,False,857.19,,
S-17280,South,Monthly Plus,89.2,False,False,389.08,,
S-15431,South,Monthly Plus,61.0,False,False,584.87,,
S-17079,Midwest,Monthly Essentials,78.6,False,False,840.84,,
S-15642,South,Monthly Essentials,62.6,False,False,491.14,,
S-13688,South,Quarterly Bundle,51.7,False,False,817.97,,
S-16553,West,Quarterly Bundle,70.7,False,False,2165.64,,
S-17782,South,Monthly Essentials,83.8,False,False,632.81,,
S-18353,West,Monthly Essentials,93.7,False,False,533.37,,
S-15208,South,Monthly Essentials,71.7,False,False,890.16,,
S-17333,South,Quarterly Bundle,87.8,False,False,273.08,,
S-12168,Midwest,Monthly Essentials,76.3,True,False,359.33,12.8,
S-10275,South,Quarterly Bundle,39.9,True,False,725.74,3.0,
S-10466,South,Monthly Essentials,48.8,True,False,204.57,8.0,
S-15924,Northeast,Monthly Plus,71.5,False,False,422.7,,
S-16816,Northeast,Monthly Essentials,78.4,False,False,849.99,,
S-18248,Northeast,Monthly Essentials,75.2,False,False,612.42,,
S-12797,Midwest,Quarterly Bundle,76.2,True,True,1124.72,5.2,Switched provider
S-14391,West,Monthly Plus,47.2,False,False,901.29,,
S-10926,West,Quarterly Bundle,37.6,True,False,3801.02,13.3,
S-14048,Northeast,Monthly Plus,46.3,False,False,975.19,,
S-15936,South,Monthly Essentials,69.6,False,True,388.58,,
S-17700,Northeast,Monthly Plus,90.9,False,False,1105.19,,
S-17550,West,Monthly Plus,85.5,False,False,854.3,,
S-16963,Northeast,Quarterly Bundle,80.6,False,False,2561.45,,
S-16389,West,Quarterly Bundle,70.8,False,False,1979.96,,
S-15261,Northeast,Monthly Essentials,57.4,False,False,737.16,,
S-13086,Midwest,Monthly Plus,92.5,True,False,570.49,8.6,
S-15767,Northeast,Monthly Plus,68.8,False,False,248.73,,
S-13953,Northeast,Quarterly Bundle,40.8,False,False,3836.15,,
S-10874,Midwest,Quarterly Bundle,50.1,True,True,2393.15,12.9,Shipping issues
S-15772,West,Monthly Essentials,66.3,False,False,365.17,,
S-12656,Midwest,Quarterly Bundle,95.1,True,True,3011.37,2.1,Price
S-15902,South,Monthly Plus,72.8,False,False,62.25,,
S-14444,Northeast,Quarterly Bundle,35.5,False,False,289.29,,
S-14843,West,Quarterly Bundle,43.2,False,False,2663.19,,
S-15282,Northeast,Monthly Plus,61.2,False,False,532.46,,
S-14510,Midwest,Quarterly Bundle,49.7,False,False,834.49,,
S-15325,South,Monthly Plus,62.1,False,False,632.2,,
S-16278,Midwest,Monthly Essentials,60.6,False,False,661.83,,
S-12178,Northeast,Quarterly Bundle,76.6,True,True,3174.94,0.6,Paused
S-10687,South,Quarterly Bundle,48.6,True,False,3072.07,1.5,
S-16091,Midwest,Monthly Essentials,62.2,False,False,623.29,,
S-14943,Midwest,Quarterly Bundle,48.9,False,True,2481.9,,No longer needed
S-17772,West,Monthly Plus,93.9,False,False,60.01,,
S-12946,West,Quarterly Bundle,92.0,True,False,1581.25,6.5,
S-13296,Midwest,Quarterly Bundle,40.5,False,False,3113.82,,
S-13757,Northeast,Monthly Essentials,35.7,False,False,437.94,,
S-14068,Northeast,Monthly Plus,51.8,False,False,173.97,,
S-12015,West,Monthly Plus,64.8,True,False,752.53,3.4,
S-15778,Northeast,Quarterly Bundle,74.6,False,False,2981.6,,
S-15366,West,Monthly Essentials,58.2,False,False,233.82,,
S-16114,Midwest,Monthly Essentials,64.6,False,False,893.51,,
