subscriber_id,region,plan,onboarding_score,negative_ticket_pre_renewal,cancelled,total_spent,days_before_renewal_negative_ticket,cancellation_reason
S-11462,Midwest,Monthly Plus,65.4,Yes,No,439.27,2.6,
S-12379,South,Monthly Plus,81.4,1,False,$873.24,9.0,
S-11037,Northeast,Monthly Plus,51.3,Yes,Yes,220.92,5.1,
S-11037,Northeast,Monthly Plus,51.3,Yes,Yes,220.92,5.1,
S-11550,West,Monthly Plus,73.2,1,False,USD 315.02,7.2,
S-14214,West,Monthly Plus,35.6,No,False,"$1,143.22",,
S-11745,West,Quarterly Bundle,75.0,1,False,454.62,8.7,
S-10994,Northeast,Quarterly Bundle,43.1,Yes,Yes,2457.89,0.6,poor quality
S-17631,Midwest,Quarterly Bundle,92.0,No,No,1218.44,,
S-13890,South,Quarterly Bundle,51.5,False,0,"$1,236.47",,
S-11256,Northeast,Quarterly Bundle,60.4,Yes,No,3191.71,3.8,
S-11649,Midwest,Quarterly Bundle,57.8,True,False,1565.48,5.1,
S-18156,West,Monthly Plus,89.0,0,False,USD 514.86,,
S-16464,Northeast,Monthly Plus,74.2,False,No,USD 703.47,,
S-15963,West,Quarterly Bundle,73.1,False,No,USD 2666.40,,
S-15441,Northeast,Quarterly Bundle,61.8,0,False,$481.33,,
S-13765,West,Quarterly Bundle,44.2,No,No,$438.32,,
S-16998,Midwest,Monthly Essentials,96.2,0,Yes,632.46,,shipping issues
S-15243,Northeast,Quarterly Bundle,58.7,No,0,3401.33,,
S-15416,Midwest,Monthly Plus,59.9,False,False,567.63,,
S-12929,Midwest,Quarterly Bundle,81.7,Yes,No,729.70,2.1,
S-10569,South,Monthly Essentials,43.9,1,True,372.35,6.4,found alternative
S-13475,South,Monthly Plus,49.7,0,0,$679.89,,
S-12359,West,Quarterly Bundle,80.9,Yes,No,1074.93,8.4,
S-13524,Midwest,Monthly Essentials,45.3,False,1,$417.91,,
S-12665,West,Monthly Plus,97.2,Yes,Yes,USD 320.55,12.1,found alternative
S-10999,West,Monthly Essentials,35.7,True,Yes,365.21,5.6,poor quality
S-12878,South,Quarterly Bundle,79.0,True,0,3624.66,7.8,
S-11702,Northeast,Monthly Essentials,58.5,True,Yes,817.73,0.7,shipping issues
S-17479,South,Quarterly Bundle,87.2,False,False,469.74,,
S-16080,South,Monthly Essentials,61.4,No,False,856.55,,
S-17733,Midwest,Quarterly Bundle,96.6,No,0,1111.84,,
S-13801,South,Quarterly Bundle,54.9,No,No,USD 2831.62,,
S-15724,South,Monthly Essentials,66.5,No,False,USD 746.19,,
S-17196,South,Monthly Essentials,94.6,False,False,USD 813.69,,
S-13481,Northeast,Quarterly Bundle,52.0,False,No,2420.04,,
S-15979,West,Quarterly Bundle,63.2,False,False,USD 612.39,,
S-17435,Northeast,Monthly Plus,79.8,False,0,USD 631.76,,
S-18215,West,Quarterly Bundle,81.8,False,False,$689.76,,
S-13926,Northeast,Quarterly Bundle,51.6,False,No,2471.63,,
S-14547,Midwest,Quarterly Bundle,45.7,0,No,3376.22,,
S-18121,West,Monthly Plus,85.2,No,False,463.10,,
S-13100,West,Monthly Essentials,79.7,True,No,$486.08,13.4,
S-15859,Midwest,Quarterly Bundle,67.2,False,No,$295.09,,
S-15977,Midwest,Monthly Essentials,60.9,False,False,765.91,,
S-16015,South,Quarterly Bundle,59.6,No,No,2101.62,,
S-12525,Midwest,Monthly Plus,95.9,Yes,No,507.85,2.2,
S-15386,Midwest,Monthly Plus,65.3,No,False,$999.72,,
S-13222,West,Monthly Essentials,91.8,Yes,No,988.86,14.0,
S-12672,Northeast,Monthly Plus,82.5,Yes,0,"$1,234.36",9.5,
S-17245,South,Monthly Plus,89.9,No,False,1021.78,,
S-12420,West,Quarterly Bundle,81.5,Yes,No,"$1,863.61",6.6,
S-14479,South,Monthly Essentials,45.1,0,False,785.27,,
S-13060,West,Monthly Plus,81.7,Yes,0,$181.00,10.3,
S-10701,West,Quarterly Bundle,35.7,True,True,$490.62,9.6,paused indefinitely
S-10196,Midwest,Monthly Essentials,39.6,Yes,No,USD 128.69,7.6,
S-16829,Northeast,Monthly Essentials,75.0,False,0,USD 115.83,,
S-11453,West,Monthly Plus,59.6,True,Yes,277.12,9.4,no longer needed
S-16824,Northeast,Monthly Plus,91.7,No,1,757.93,,found alternative
S-13038,West,Monthly Plus,77.5,Yes,No,555.59,0.9,
S-11337,Northeast,Monthly Essentials,67.8,Yes,1,$38.42,5.0,no longer needed
S-15459,West,Quarterly Bundle,61.3,False,No,"$1,214.01",,
S-13484,West,Monthly Plus,39.0,0,False,$701.57,,
S-13822,West,Monthly Plus,54.2,False,No,USD 568.79,,
S-15491,Midwest,Monthly Plus,69.2,False,0,"$1,241.04",,
S-10292,Midwest,Monthly Essentials,44.3,True,Yes,426.81,2.6,no longer needed
S-17228,South,Quarterly Bundle,90.4,False,No,USD 2353.76,,
S-10263,Northeast,Monthly Essentials,50.9,True,False,$123.30,14.0,
S-13190,Midwest,Quarterly Bundle,81.9,True,True,"$1,926.34",5.4,too expensive
S-17967,Northeast,Monthly Plus,90.6,0,False,"$1,213.57",,
S-12481,West,Monthly Essentials,95.8,True,Yes,USD 110.57,10.4,shipping issues
S-11655,Midwest,Quarterly Bundle,63.3,Yes,False,USD 3266.77,3.4,
S-18167,West,Monthly Essentials,82.5,False,False,$450.97,,
S-11452,South,Monthly Plus,55.7,Yes,0,1048.67,1.4,
S-15194,Northeast,Monthly Essentials,55.7,No,0,795.70,,
S-14741,South,Monthly Plus,37.0,No,0,$407.34,,
S-17335,South,Monthly Essentials,89.1,False,No,80.34,,
S-16338,Midwest,Quarterly Bundle,58.4,No,False,USD 2583.40,,
S-14782,West,Monthly Essentials,45.4,No,0,$511.55,,
S-10281,Midwest,Monthly Essentials,37.8,True,Yes,289.27,10.0,too expensive
S-13436,Northeast,Quarterly Bundle,37.1,False,0,1861.77,,
S-13065,Midwest,Monthly Essentials,87.3,Yes,False,309.89,3.4,
S-11289,West,Monthly Essentials,70.1,1,No,401.95,12.9,
S-12089,Northeast,Monthly Essentials,66.7,True,0,$992.28,10.7,
S-17921,South,Monthly Plus,80.8,False,No,USD 801.31,,
S-17778,Midwest,Monthly Essentials,82.7,0,False,USD 270.51,,
S-16879,Midwest,Quarterly Bundle,79.8,0,False,3330.05,,
S-14882,West,Quarterly Bundle,40.6,False,No,"$3,357.75",,
S-15697,Northeast,Monthly Plus,64.0,False,False,1223.29,,
S-18178,Midwest,Monthly Essentials,95.7,0,False,699.27,,
S-10063,Northeast,Monthly Essentials,37.3,Yes,False,810.97,7.2,
S-16992,Northeast,Monthly Plus,80.3,False,False,"$1,087.02",,
S-14099,Midwest,Monthly Plus,35.0,No,False,1121.01,,
S-17595,Midwest,Quarterly Bundle,99.3,No,No,2523.09,,
S-11685,Northeast,Quarterly Bundle,66.9,1,True,"$1,050.66",4.6,shipping issues
S-14475,Northeast,Monthly Plus,47.3,0,No,USD 912.09,,
S-14475,Northeast,Monthly Plus,47.3,0,No,USD 912.09,,
S-15831,Midwest,Monthly Plus,56.7,No,No,"$1,204.91",,
S-12069,West,Monthly Essentials,69.5,1,False,965.62,14.0,
S-16604,South,Monthly Essentials,66.3,False,False,378.77,,
S-10624,Northeast,Monthly Essentials,37.0,Yes,No,406.80,0.2,
S-17780,Midwest,Monthly Plus,88.2,False,False,792.36,,
S-13422,Midwest,Monthly Essentials,44.3,0,False,USD 323.25,,
S-16479,Midwest,Quarterly Bundle,63.8,No,0,277.90,,
S-10458,Northeast,Monthly Plus,35.6,True,0,USD 372.68,8.9,
S-12463,Northeast,Quarterly Bundle,95.1,Yes,Yes,1282.03,2.3,paused indefinitely
S-15544,South,Quarterly Bundle,66.4,False,True,545.47,,shipping issues
S-10620,Midwest,Quarterly Bundle,52.1,Yes,Yes,2825.02,8.3,
S-16474,South,Monthly Plus,74.4,No,No,USD 535.71,,
S-18262,South,Quarterly Bundle,97.3,No,True,325.12,,shipping issues
S-15278,South,Monthly Plus,59.8,0,0,1095.25,,
S-13812,Midwest,Quarterly Bundle,39.3,No,True,"$2,817.56",,moving/relocating
S-13518,South,Monthly Plus,40.7,No,No,969.78,,
S-12016,West,Monthly Plus,62.2,Yes,No,1022.96,13.9,
S-13231,West,Quarterly Bundle,95.6,True,No,1605.30,7.1,
S-17931,West,Monthly Plus,82.7,0,0,1340.12,,
S-10545,Northeast,Monthly Plus,46.6,Yes,False,1462.53,5.8,
S-16719,Northeast,Monthly Essentials,91.7,False,No,USD 526.48,,
S-17560,West,Quarterly Bundle,95.7,No,False,2983.59,,
S-17085,Midwest,Quarterly Bundle,79.4,No,0,442.43,,
S-16159,Northeast,Quarterly Bundle,58.6,False,No,$270.13,,
S-18028,West,Monthly Essentials,75.8,0,False,543.32,,
S-17784,South,Monthly Essentials,82.7,No,0,$980.30,,
S-16332,South,Quarterly Bundle,74.2,False,No,USD 1203.73,,
S-13199,South,Monthly Essentials,81.8,True,False,589.44,1.0,
S-13512,Northeast,Quarterly Bundle,47.1,False,No,USD 1255.73,,
S-16382,South,Monthly Plus,70.2,No,False,325.69,,
S-11325,South,Monthly Plus,57.9,Yes,True,USD 123.17,3.9,found alternative
S-18377,Northeast,Monthly Plus,80.8,False,False,USD 586.65,,
S-13737,Northeast,Monthly Essentials,46.5,No,True,82.00,,shipping issues
S-14660,West,Quarterly Bundle,53.6,False,False,USD 162.15,,
S-10220,Northeast,Monthly Essentials,38.7,True,Yes,110.29,1.7,found alternative
S-12083,Midwest,Monthly Plus,58.0,True,No,1359.82,0.4,
S-14723,Midwest,Quarterly Bundle,35.9,False,0,USD 1861.23,,
S-10575,Midwest,Monthly Essentials,45.2,True,Yes,166.21,9.2,found alternative
S-14911,Midwest,Quarterly Bundle,35.7,False,No,2024.44,,
S-13906,South,Monthly Essentials,54.4,No,False,$773.26,,
S-15796,Northeast,Monthly Essentials,67.6,No,False,USD 150.40,,
S-18065,West,Monthly Essentials,78.5,0,Yes,USD 160.66,,shipping issues
S-12252,West,Monthly Plus,88.5,Yes,False,757.76,5.8,
S-18090,South,Quarterly Bundle,77.4,0,False,1059.56,,
S-17232,Midwest,Monthly Essentials,97.9,False,False,580.36,,
S-11288,Northeast,Quarterly Bundle,69.2,True,True,1909.36,12.0,poor quality
S-12831,South,Monthly Essentials,97.6,1,Yes,USD 790.57,13.7,found alternative
S-12532,Midwest,Quarterly Bundle,81.5,True,False,"$1,835.02",11.7,
S-14260,Northeast,Monthly Plus,46.5,False,False,USD 525.90,,
S-10782,West,Monthly Essentials,41.3,True,True,35.54,7.1,poor quality
S-14535,Midwest,Monthly Plus,44.3,0,False,1358.49,,
S-15294,Northeast,Quarterly Bundle,68.5,False,False,USD 2670.39,,
S-12500,West,Monthly Essentials,90.1,1,No,$757.39,10.2,
S-15599,Midwest,Monthly Plus,63.3,No,False,USD 248.71,,
S-13578,South,Monthly Plus,54.5,False,No,230.65,,
S-16681,West,Monthly Essentials,82.0,False,True,$429.20,,poor quality
S-12000,West,Monthly Plus,68.6,Yes,True,$417.14,4.6,paused indefinitely
S-13394,West,Monthly Essentials,41.7,0,No,$244.08,,
S-11444,South,Monthly Plus,73.5,Yes,False,USD 1043.48,2.3,
S-16528,South,Quarterly Bundle,72.9,No,No,USD 151.66,,
S-13444,South,Monthly Essentials,44.2,False,True,213.36,,shipping issues
S-12209,Midwest,Quarterly Bundle,80.4,True,No,USD 1664.74,7.6,
S-11918,Northeast,Quarterly Bundle,70.7,True,False,USD 2234.28,5.3,
S-11665,South,Monthly Essentials,65.0,True,No,$317.78,8.5,
S-12820,Northeast,Monthly Essentials,91.1,1,0,USD 367.28,8.6,
S-12429,West,Monthly Plus,80.1,True,False,794.39,11.3,
S-12312,West,Monthly Plus,98.8,1,False,$445.93,2.0,
S-11538,Midwest,Monthly Plus,64.1,1,No,268.05,5.9,
S-13294,South,Quarterly Bundle,48.1,No,0,824.56,,
S-17779,Northeast,Monthly Plus,87.2,False,False,USD 318.93,,
S-17044,Northeast,Monthly Essentials,86.8,No,No,$718.28,,
S-12384,Northeast,Quarterly Bundle,88.6,Yes,False,USD 2294.32,10.9,
S-12585,West,Quarterly Bundle,98.3,1,No,985.59,11.5,
S-12139,Midwest,Monthly Essentials,70.6,1,0,$117.97,9.0,
S-13069,Northeast,Monthly Essentials,82.2,Yes,0,376.19,4.0,
S-12538,South,Monthly Plus,81.9,1,0,$548.90,12.1,
S-16903,Midwest,Monthly Essentials,77.4,False,0,$504.92,,
S-17108,Midwest,Quarterly Bundle,86.8,False,No,3246.69,,
S-15354,Northeast,Monthly Essentials,55.1,False,False,362.42,,
S-11893,Midwest,Monthly Essentials,63.6,Yes,No,364.47,5.1,
S-13150,South,Monthly Essentials,84.5,Yes,Yes,$374.35,0.7,found alternative
S-16457,West,Quarterly Bundle,62.5,No,0,"$2,016.17",,
S-17167,Midwest,Monthly Plus,97.9,No,1,392.56,,moving/relocating
S-12998,South,Quarterly Bundle,93.3,1,No,3030.77,13.1,
S-10007,West,Quarterly Bundle,50.4,Yes,True,USD 3928.68,2.0,moving/relocating
S-15793,Northeast,Quarterly Bundle,58.0,False,No,$626.96,,
S-10515,South,Quarterly Bundle,54.0,True,True,"$1,660.86",13.0,moving/relocating
S-14734,South,Monthly Essentials,40.8,No,False,$869.56,,
S-16347,West,Monthly Essentials,59.8,No,False,484.81,,
S-16754,Midwest,Monthly Plus,96.8,False,False,221.84,,
S-10587,West,Quarterly Bundle,35.0,1,1,3077.44,8.8,paused indefinitely
S-15399,Northeast,Monthly Essentials,68.1,No,No,802.15,,
S-17501,South,Quarterly Bundle,93.5,False,0,USD 3079.68,,
S-15898,Midwest,Monthly Essentials,60.0,False,No,USD 779.29,,
S-14425,Northeast,Monthly Essentials,48.4,False,No,226.93,,
S-14047,Midwest,Monthly Plus,53.6,False,No,679.17,,
S-17000,South,Quarterly Bundle,96.3,No,No,"$1,521.62",,
S-11516,Midwest,Quarterly Bundle,71.6,Yes,No,418.88,7.6,
S-12793,Northeast,Quarterly Bundle,83.8,1,No,USD 2389.97,7.6,
S-12324,Midwest,Monthly Essentials,84.6,Yes,1,651.59,8.5,no longer needed
S-16540,South,Quarterly Bundle,74.2,0,False,3077.38,,
S-14706,South,Quarterly Bundle,48.9,False,No,"$1,085.18",,
S-10814,Midwest,Quarterly Bundle,39.6,1,Yes,3688.76,1.4,found alternative
S-16201,Midwest,Monthly Essentials,58.3,0,No,890.78,,
S-10913,Northeast,Monthly Plus,50.9,Yes,No,546.29,5.4,
S-13036,West,Monthly Plus,93.4,Yes,0,617.00,14.0,
S-14468,Northeast,Quarterly Bundle,35.6,0,0,USD 3763.00,,
S-16794,West,Quarterly Bundle,90.8,No,False,USD 2605.98,,
S-14575,South,Monthly Plus,36.7,False,False,640.13,,
S-17904,South,Monthly Plus,93.3,0,0,USD 876.83,,
S-12009,Northeast,Monthly Essentials,64.4,True,0,$269.83,7.3,
S-17710,West,Monthly Essentials,78.7,No,False,$498.36,,
S-13614,Northeast,Monthly Essentials,47.1,No,No,969.53,,
S-11735,Midwest,Monthly Essentials,72.1,Yes,False,752.52,3.3,
S-11561,Northeast,Quarterly Bundle,73.7,Yes,No,3527.02,3.2,
S-16569,West,Monthly Plus,59.5,False,0,974.64,,
S-17361,Midwest,Quarterly Bundle,96.9,False,0,USD 1994.37,,
S-11259,Northeast,Monthly Essentials,70.3,1,0,492.82,10.2,
S-12900,Northeast,Monthly Plus,83.4,True,False,$711.20,12.2,
S-16330,Midwest,Monthly Plus,55.5,False,False,USD 1187.45,,
S-14854,South,Monthly Essentials,36.0,No,No,395.47,,
S-15179,West,Monthly Plus,63.7,No,Yes,$109.94,,moving/relocating
S-16285,West,Quarterly Bundle,56.3,False,No,3394.28,,
S-17878,West,Monthly Essentials,92.7,False,No,$175.70,,
S-16887,Northeast,Monthly Plus,76.5,False,False,"$1,151.10",,
S-16120,Northeast,Monthly Essentials,61.0,False,0,267.89,,
S-16420,Northeast,Monthly Essentials,65.3,0,False,$910.00,,
S-14809,South,Monthly Plus,39.7,No,0,1158.86,,
S-14432,West,Monthly Plus,49.9,False,0,1145.06,,
S-13756,West,Monthly Plus,46.8,False,No,"$1,003.76",,
S-17112,West,Monthly Essentials,95.8,False,No,536.91,,
S-17719,Northeast,Monthly Plus,77.3,0,No,176.12,,
S-17178,West,Monthly Plus,97.2,No,No,60.10,,
S-17535,Midwest,Quarterly Bundle,77.1,0,True,USD 298.29,,shipping issues
S-10075,Midwest,Monthly Essentials,52.1,True,True,761.73,0.4,paused indefinitely
S-12746,West,Monthly Essentials,88.7,Yes,No,$266.19,13.1,
S-17182,Northeast,Quarterly Bundle,85.6,No,False,3465.45,,
S-15721,South,Monthly Essentials,63.8,0,No,USD 857.19,,
S-17280,South,Monthly Plus,89.2,No,False,$389.08,,
S-15431,South,Monthly Plus,61.0,No,0,$584.87,,
S-17079,Midwest,Monthly Essentials,78.6,False,False,$840.84,,
S-15642,South,Monthly Essentials,62.6,0,False,491.14,,
S-13688,South,Quarterly Bundle,51.7,False,No,$817.97,,
S-16553,West,Quarterly Bundle,70.7,False,0,2165.64,,
S-17782,South,Monthly Essentials,83.8,No,0,USD 632.81,,
S-18353,West,Monthly Essentials,93.7,False,False,533.37,,
S-15208,South,Monthly Essentials,71.7,False,No,890.16,,
S-17333,South,Quarterly Bundle,87.8,No,No,273.08,,
S-12168,Midwest,Monthly Essentials,76.3,True,No,USD 359.33,12.8,
S-10275,South,Quarterly Bundle,39.9,True,No,725.74,3.0,
S-10466,South,Monthly Essentials,48.8,True,False,204.57,8.0,
S-15924,Northeast,Monthly Plus,71.5,False,False,422.70,,
S-16816,Northeast,Monthly Essentials,78.4,No,No,849.99,,
S-18248,Northeast,Monthly Essentials,75.2,No,No,$612.42,,
S-12797,Midwest,Quarterly Bundle,76.2,Yes,Yes,1124.72,5.2,found alternative
S-14391,West,Monthly Plus,47.2,0,False,901.29,,
S-10926,West,Quarterly Bundle,37.6,Yes,False,USD 3801.02,13.3,
S-14048,Northeast,Monthly Plus,46.3,False,No,$975.19,,
S-15936,South,Monthly Essentials,69.6,False,True,USD 388.58,,
S-17700,Northeast,Monthly Plus,90.9,No,0,USD 1105.19,,
S-17550,West,Monthly Plus,85.5,False,No,854.30,,
S-16963,Northeast,Quarterly Bundle,80.6,0,False,2561.45,,
S-16389,West,Quarterly Bundle,70.8,False,No,"$1,979.96",,
S-15261,Northeast,Monthly Essentials,57.4,No,No,USD 737.16,,
S-13086,Midwest,Monthly Plus,92.5,Yes,No,570.49,8.6,
S-15767,Northeast,Monthly Plus,68.8,No,No,248.73,,
